location,target_end_date,horizon,wis,overprediction,underprediction,dispersion,model_id,target,reference_date
duluth,2026-01-31,1,0.6065705880853864,0.46545884927113856,0,0.14111173881424802,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
minneapolis,2026-01-31,1,0.22073288182831463,0,0.12383078893025706,0.09690209289805758,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
st-cloud,2026-01-31,1,0.6247681944734514,0,0.4855238199234002,0.1392443745500512,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
rochester,2026-01-31,1,3.04416114633282,0,2.9130168522728805,0.13114429405993894,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
minnesota,2026-01-31,1,0.23708558913734226,0.06389007356431747,0,0.1731955155730248,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
columbia,2026-01-31,1,0.2073787169986302,0,0.08508613745371507,0.12229257954491511,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
greenville,2026-01-31,1,0.2984822032352287,0,0.1900941477881536,0.10838805544707514,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
florence,2026-01-31,1,0.5739173772103254,0,0.4427856440014307,0.1311317332088948,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
charleston,2026-01-31,1,1.5177225591904584,0,1.3952352319823367,0.12248732720812165,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
rock-hill,2026-01-31,1,0.24858942020270566,0.10988998095194503,0,0.13869943925076064,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
horry,2026-01-31,1,0.36804643496870953,0,0.2577289157443572,0.1103175192243524,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
south-carolina,2026-01-31,1,0.18544492875536284,0,0.041038361655341235,0.1444065671000216,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
houston,2026-01-31,1,0.2650121573441558,0.13878541602028738,0,0.12622674132386846,ACCIDDA-InfluPaint,Flu ED visits pct,2026-01-31
