location,target_end_date,horizon,reference_date,wis,model_id,target
beaumont,2026-01-31,1,2026-01-31,0.2788655711213749,ACCIDDA-InfluPaint,Flu ED visits pct
el-paso,2026-01-31,1,2026-01-31,0.6980622426337667,ACCIDDA-InfluPaint,Flu ED visits pct
austin,2026-01-31,1,2026-01-31,0.5663279823958872,ACCIDDA-InfluPaint,Flu ED visits pct
dallas,2026-01-31,1,2026-01-31,0.4984520743290585,ACCIDDA-InfluPaint,Flu ED visits pct
texas,2026-01-31,1,2026-01-31,1.270898818423349,ACCIDDA-InfluPaint,Flu ED visits pct
provo,2026-01-31,1,2026-01-31,0.8664535167151025,ACCIDDA-InfluPaint,Flu ED visits pct
salt-lake-city,2026-01-31,1,2026-01-31,0.5771944191720751,ACCIDDA-InfluPaint,Flu ED visits pct
ogden,2026-01-31,1,2026-01-31,0.1849445128275289,ACCIDDA-InfluPaint,Flu ED visits pct
utah,2026-01-31,1,2026-01-31,0.19911115921205946,ACCIDDA-InfluPaint,Flu ED visits pct
roanoke,2026-01-31,1,2026-01-31,0.24210640215211457,ACCIDDA-InfluPaint,Flu ED visits pct
virginia,2026-01-31,1,2026-01-31,0.24235852224959265,ACCIDDA-InfluPaint,Flu ED visits pct
nyc,2026-01-31,1,2026-01-31,2.3355761307477954,ACCIDDA-InfluPaint,Flu ED visits pct
nenc,2026-01-31,1,2026-01-31,0.21217199035816728,ACCIDDA-InfluPaint,Flu ED visits pct
senc,2026-01-31,1,2026-01-31,0.11637994584937889,ACCIDDA-InfluPaint,Flu ED visits pct
fay-area,2026-01-31,1,2026-01-31,2.2482820006873876,ACCIDDA-InfluPaint,Flu ED visits pct
rtp-area,2026-01-31,1,2026-01-31,1.5725241174466076,ACCIDDA-InfluPaint,Flu ED visits pct
triad-area,2026-01-31,1,2026-01-31,1.289606313274966,ACCIDDA-InfluPaint,Flu ED visits pct
wnc,2026-01-31,1,2026-01-31,0.17060637621415994,ACCIDDA-InfluPaint,Flu ED visits pct
clt-area,2026-01-31,1,2026-01-31,1.0222163988484274,ACCIDDA-InfluPaint,Flu ED visits pct
north-carolina,2026-01-31,1,2026-01-31,0.21577974879079403,ACCIDDA-InfluPaint,Flu ED visits pct
portland-or,2026-01-31,1,2026-01-31,1.5256417780121163,ACCIDDA-InfluPaint,Flu ED visits pct
salem,2026-01-31,1,2026-01-31,3.6551229410701325,ACCIDDA-InfluPaint,Flu ED visits pct
deschutes,2026-01-31,1,2026-01-31,2.5593099002374533,ACCIDDA-InfluPaint,Flu ED visits pct
eugene,2026-01-31,1,2026-01-31,3.5778875259475567,ACCIDDA-InfluPaint,Flu ED visits pct
medford,2026-01-31,1,2026-01-31,5.323184657113419,ACCIDDA-InfluPaint,Flu ED visits pct
oregon,2026-01-31,1,2026-01-31,4.887135797457562,ACCIDDA-InfluPaint,Flu ED visits pct
denver,2026-02-07,2,2026-02-07,0.18125702643973962,ACCIDDA-InfluPaint,Flu ED visits pct
mesa,2026-02-07,2,2026-02-07,0.20974540206293252,ACCIDDA-InfluPaint,Flu ED visits pct
colorado-springs,2026-02-07,2,2026-02-07,0.27402709571023776,ACCIDDA-InfluPaint,Flu ED visits pct
weld,2026-02-07,2,2026-02-07,0.13421714466893012,ACCIDDA-InfluPaint,Flu ED visits pct
