model_id,location,target_end_date,horizon,target,reference_date,output_type,oracle_value,quantile_0.25,quantile_0.75,coverage_50
ACCIDDA-InfluPaint,marietta,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.98,1.3331177532672882,2.6605039834976196,1
ACCIDDA-InfluPaint,marietta,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.81,1.1912513077259064,2.913558840751648,1
ACCIDDA-InfluPaint,marietta,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.35,1.4239844679832458,3.5567234158515935,1
ACCIDDA-InfluPaint,macon,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.5,1.0427390336990356,1.830954760313034,0
ACCIDDA-InfluPaint,macon,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.1,1.3331177532672882,2.6605039834976196,1
ACCIDDA-InfluPaint,macon,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.86,1.1912513077259064,2.913558840751648,1
ACCIDDA-InfluPaint,macon,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.29,1.4239844679832458,3.5567234158515935,1
ACCIDDA-InfluPaint,henry,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.6,1.0427390336990356,1.830954760313034,1
ACCIDDA-InfluPaint,henry,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.31,1.3331177532672882,2.6605039834976196,0
ACCIDDA-InfluPaint,henry,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.73,1.1912513077259064,2.913558840751648,1
ACCIDDA-InfluPaint,henry,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.46,1.4239844679832458,3.5567234158515935,1
ACCIDDA-InfluPaint,cherokee,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.52,1.0427390336990356,1.830954760313034,0
ACCIDDA-InfluPaint,cherokee,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.56,1.3331177532672882,2.6605039834976196,1
ACCIDDA-InfluPaint,cherokee,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.6,1.1912513077259064,2.913558840751648,0
ACCIDDA-InfluPaint,cherokee,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,3.69,1.4239844679832458,3.5567234158515935,0
ACCIDDA-InfluPaint,athens,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.37,1.0427390336990356,1.830954760313034,1
ACCIDDA-InfluPaint,athens,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.37,1.3331177532672882,2.6605039834976196,1
ACCIDDA-InfluPaint,athens,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.47,1.1912513077259064,2.913558840751648,1
ACCIDDA-InfluPaint,athens,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.56,1.4239844679832458,3.5567234158515935,1
ACCIDDA-InfluPaint,south-augusta,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.72,1.0427390336990356,1.830954760313034,0
ACCIDDA-InfluPaint,south-augusta,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.55,1.3331177532672882,2.6605039834976196,1
ACCIDDA-InfluPaint,south-augusta,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.97,1.1912513077259064,2.913558840751648,0
ACCIDDA-InfluPaint,south-augusta,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,3.06,1.4239844679832458,3.5567234158515935,1
