location,target_end_date,horizon,reference_date,wis,model_id,target
nenc,2026-01-31,1,2026-01-31,0.520292327966955,ACCIDDA-InfluPaint,Flu ED visits pct
senc,2026-01-31,1,2026-01-31,1.6204195017615954,ACCIDDA-InfluPaint,Flu ED visits pct
fay-area,2026-01-31,1,2026-01-31,0.4756442454457282,ACCIDDA-InfluPaint,Flu ED visits pct
rtp-area,2026-01-31,1,2026-01-31,0.196979765660233,ACCIDDA-InfluPaint,Flu ED visits pct
triad-area,2026-01-31,1,2026-01-31,0.19577974879079407,ACCIDDA-InfluPaint,Flu ED visits pct
wnc,2026-01-31,1,2026-01-31,0.35481915503740313,ACCIDDA-InfluPaint,Flu ED visits pct
clt-area,2026-01-31,1,2026-01-31,0.2146686376796829,ACCIDDA-InfluPaint,Flu ED visits pct
portland-or,2026-01-31,1,2026-01-31,4.347135797457562,ACCIDDA-InfluPaint,Flu ED visits pct
salem,2026-01-31,1,2026-01-31,6.107135797457563,ACCIDDA-InfluPaint,Flu ED visits pct
deschutes,2026-01-31,1,2026-01-31,4.6171357974575615,ACCIDDA-InfluPaint,Flu ED visits pct
eugene,2026-01-31,1,2026-01-31,3.6571357974575625,ACCIDDA-InfluPaint,Flu ED visits pct
medford,2026-01-31,1,2026-01-31,5.767135797457563,ACCIDDA-InfluPaint,Flu ED visits pct
denver,2026-02-07,2,2026-02-07,0.22766757821871175,ACCIDDA-InfluPaint,Flu ED visits pct
mesa,2026-02-07,2,2026-02-07,0.21392472441825602,ACCIDDA-InfluPaint,Flu ED visits pct
colorado-springs,2026-02-07,2,2026-02-07,0.1905913910849227,ACCIDDA-InfluPaint,Flu ED visits pct
weld,2026-02-07,2,2026-02-07,0.21988980044093404,ACCIDDA-InfluPaint,Flu ED visits pct
boulder,2026-02-07,2,2026-02-07,0.4792574084053436,ACCIDDA-InfluPaint,Flu ED visits pct
larimer,2026-02-07,2,2026-02-07,0.19322313377426734,ACCIDDA-InfluPaint,Flu ED visits pct
savannah,2026-02-07,2,2026-02-07,0.8746718026118145,ACCIDDA-InfluPaint,Flu ED visits pct
