model_id,location,target_end_date,horizon,target,reference_date,output_type,oracle_value,quantile_0.025,quantile_0.975,coverage_95
ACCIDDA-InfluPaint,marietta,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.81,0.3375380672514438,6.420561790466309,1
ACCIDDA-InfluPaint,marietta,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.35,0.3652915097773075,7.6261818408966064,1
ACCIDDA-InfluPaint,macon,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.5,0.5575366169214249,2.9617166817188263,1
ACCIDDA-InfluPaint,macon,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.1,0.6828969195485115,4.710700452327728,1
ACCIDDA-InfluPaint,macon,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.86,0.3375380672514438,6.420561790466309,1
ACCIDDA-InfluPaint,macon,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.29,0.3652915097773075,7.6261818408966064,1
ACCIDDA-InfluPaint,henry,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.6,0.5575366169214249,2.9617166817188263,1
ACCIDDA-InfluPaint,henry,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.31,0.6828969195485115,4.710700452327728,1
ACCIDDA-InfluPaint,henry,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,1.73,0.3375380672514438,6.420561790466309,1
ACCIDDA-InfluPaint,henry,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.46,0.3652915097773075,7.6261818408966064,1
ACCIDDA-InfluPaint,cherokee,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.52,0.5575366169214249,2.9617166817188263,1
ACCIDDA-InfluPaint,cherokee,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.56,0.6828969195485115,4.710700452327728,1
ACCIDDA-InfluPaint,cherokee,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,3.6,0.3375380672514438,6.420561790466309,1
ACCIDDA-InfluPaint,cherokee,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,3.69,0.3652915097773075,7.6261818408966064,1
ACCIDDA-InfluPaint,athens,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,1.37,0.5575366169214249,2.9617166817188263,1
ACCIDDA-InfluPaint,athens,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,1.37,0.6828969195485115,4.710700452327728,1
ACCIDDA-InfluPaint,athens,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.47,0.3375380672514438,6.420561790466309,1
ACCIDDA-InfluPaint,athens,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,2.56,0.3652915097773075,7.6261818408966064,1
ACCIDDA-InfluPaint,south-augusta,2026-01-31,0,Flu ED visits pct,2026-01-31,quantile,2.72,0.5575366169214249,2.9617166817188263,1
ACCIDDA-InfluPaint,south-augusta,2026-02-07,1,Flu ED visits pct,2026-01-31,quantile,2.55,0.6828969195485115,4.710700452327728,1
ACCIDDA-InfluPaint,south-augusta,2026-02-14,2,Flu ED visits pct,2026-01-31,quantile,2.97,0.3375380672514438,6.420561790466309,1
ACCIDDA-InfluPaint,south-augusta,2026-02-21,3,Flu ED visits pct,2026-01-31,quantile,3.06,0.3652915097773075,7.6261818408966064,1
