location,target_end_date,horizon,wis,model_id,target
portland-or,2026-01-31,1,0.868191700029341,ACCIDDA-InfluPaint,Flu ED visits pct
salem,2026-01-31,1,1.0779839181686866,ACCIDDA-InfluPaint,Flu ED visits pct
deschutes,2026-01-31,1,0.9033744818610708,ACCIDDA-InfluPaint,Flu ED visits pct
eugene,2026-01-31,1,0.7722181702836098,ACCIDDA-InfluPaint,Flu ED visits pct
medford,2026-01-31,1,1.040739744996315,ACCIDDA-InfluPaint,Flu ED visits pct
denver,2026-02-07,2,0.07416591946119885,ACCIDDA-InfluPaint,Flu ED visits pct
mesa,2026-02-07,2,0.0676609161084401,ACCIDDA-InfluPaint,Flu ED visits pct
colorado-springs,2026-02-07,2,0.06044560472660153,ACCIDDA-InfluPaint,Flu ED visits pct
weld,2026-02-07,2,0.07118002854441038,ACCIDDA-InfluPaint,Flu ED visits pct
boulder,2026-02-07,2,0.13463982841738706,ACCIDDA-InfluPaint,Flu ED visits pct
larimer,2026-02-07,2,0.06151209776778485,ACCIDDA-InfluPaint,Flu ED visits pct
savannah,2026-02-07,2,0.22271260710827706,ACCIDDA-InfluPaint,Flu ED visits pct
floyd,2026-02-07,2,0.07566033984486993,ACCIDDA-InfluPaint,Flu ED visits pct
hall,2026-02-07,2,0.08002310404397218,ACCIDDA-InfluPaint,Flu ED visits pct
marietta,2026-02-07,2,0.06227207965654243,ACCIDDA-InfluPaint,Flu ED visits pct
macon,2026-02-07,2,0.06539663760809049,ACCIDDA-InfluPaint,Flu ED visits pct
henry,2026-02-07,2,0.09278226368322615,ACCIDDA-InfluPaint,Flu ED visits pct
cherokee,2026-02-07,2,0.0807697968717392,ACCIDDA-InfluPaint,Flu ED visits pct
athens,2026-02-07,2,0.08772022914212835,ACCIDDA-InfluPaint,Flu ED visits pct
south-augusta,2026-02-07,2,0.08045724782989312,ACCIDDA-InfluPaint,Flu ED visits pct
columbus,2026-02-07,2,0.5278510181024595,ACCIDDA-InfluPaint,Flu ED visits pct
la-grange,2026-02-07,2,0.06682115854465286,ACCIDDA-InfluPaint,Flu ED visits pct
indianapolis,2026-02-07,2,0.11422358909690179,ACCIDDA-InfluPaint,Flu ED visits pct
bangor,2026-02-07,2,0.08450713713441699,ACCIDDA-InfluPaint,Flu ED visits pct
portland,2026-02-07,2,0.07910773431851269,ACCIDDA-InfluPaint,Flu ED visits pct
baltimore,2026-02-07,2,0.196032832426562,ACCIDDA-InfluPaint,Flu ED visits pct
frederick,2026-02-07,2,0.06589601109073782,ACCIDDA-InfluPaint,Flu ED visits pct
montgomery,2026-02-07,2,0.10568714128542345,ACCIDDA-InfluPaint,Flu ED visits pct
harford,2026-02-07,2,0.07909905712241981,ACCIDDA-InfluPaint,Flu ED visits pct
worcester,2026-02-07,2,0.08917309530810978,ACCIDDA-InfluPaint,Flu ED visits pct
pittsfield,2026-02-07,2,0.12711041950205057,ACCIDDA-InfluPaint,Flu ED visits pct
boston,2026-02-07,2,0.19623066373168452,ACCIDDA-InfluPaint,Flu ED visits pct
springfield,2026-02-07,2,0.13373740331609155,ACCIDDA-InfluPaint,Flu ED visits pct
new-bedford,2026-02-07,2,0.0963935942351696,ACCIDDA-InfluPaint,Flu ED visits pct
lynn,2026-02-07,2,0.09761236463620643,ACCIDDA-InfluPaint,Flu ED visits pct
st-paul,2026-02-07,2,0.19607252851089751,ACCIDDA-InfluPaint,Flu ED visits pct
duluth,2026-02-07,2,0.05814481112937428,ACCIDDA-InfluPaint,Flu ED visits pct
minneapolis,2026-02-07,2,0.10543669828944542,ACCIDDA-InfluPaint,Flu ED visits pct
st-cloud,2026-02-07,2,0.11380673772528477,ACCIDDA-InfluPaint,Flu ED visits pct
rochester,2026-02-07,2,0.23235559697934605,ACCIDDA-InfluPaint,Flu ED visits pct
columbia,2026-02-07,2,0.061755579125455866,ACCIDDA-InfluPaint,Flu ED visits pct
greenville,2026-02-07,2,0.05829508410838565,ACCIDDA-InfluPaint,Flu ED visits pct
florence,2026-02-07,2,0.24259646105944613,ACCIDDA-InfluPaint,Flu ED visits pct
charleston,2026-02-07,2,0.44108429947148625,ACCIDDA-InfluPaint,Flu ED visits pct
rock-hill,2026-02-07,2,0.05307764154307777,ACCIDDA-InfluPaint,Flu ED visits pct
horry,2026-02-07,2,0.10769344681270482,ACCIDDA-InfluPaint,Flu ED visits pct
houston,2026-02-07,2,0.08366640485337976,ACCIDDA-InfluPaint,Flu ED visits pct
san-antonio,2026-02-07,2,0.8644769240480977,ACCIDDA-InfluPaint,Flu ED visits pct
beaumont,2026-02-07,2,0.1832199093912809,ACCIDDA-InfluPaint,Flu ED visits pct
el-paso,2026-02-07,2,0.17798728785634682,ACCIDDA-InfluPaint,Flu ED visits pct
austin,2026-02-07,2,0.26266302192375346,ACCIDDA-InfluPaint,Flu ED visits pct
dallas,2026-02-07,2,0.10532382254690077,ACCIDDA-InfluPaint,Flu ED visits pct
provo,2026-02-07,2,0.0667779805520697,ACCIDDA-InfluPaint,Flu ED visits pct
salt-lake-city,2026-02-07,2,0.07124895052728893,ACCIDDA-InfluPaint,Flu ED visits pct
ogden,2026-02-07,2,0.06840402583189611,ACCIDDA-InfluPaint,Flu ED visits pct
roanoke,2026-02-07,2,0.0674222869796338,ACCIDDA-InfluPaint,Flu ED visits pct
nenc,2026-02-07,2,0.08624755121554033,ACCIDDA-InfluPaint,Flu ED visits pct
senc,2026-02-07,2,0.1174917104364427,ACCIDDA-InfluPaint,Flu ED visits pct
fay-area,2026-02-07,2,0.07847467071263227,ACCIDDA-InfluPaint,Flu ED visits pct
rtp-area,2026-02-07,2,0.08800657024915493,ACCIDDA-InfluPaint,Flu ED visits pct
triad-area,2026-02-07,2,0.14404864209993784,ACCIDDA-InfluPaint,Flu ED visits pct
wnc,2026-02-07,2,0.12925763779678398,ACCIDDA-InfluPaint,Flu ED visits pct
clt-area,2026-02-07,2,0.07444578804112545,ACCIDDA-InfluPaint,Flu ED visits pct
portland-or,2026-02-07,2,0.9211025027431367,ACCIDDA-InfluPaint,Flu ED visits pct
salem,2026-02-07,2,1.189684403821498,ACCIDDA-InfluPaint,Flu ED visits pct
deschutes,2026-02-07,2,0.9424936927244539,ACCIDDA-InfluPaint,Flu ED visits pct
eugene,2026-02-07,2,0.926493351378013,ACCIDDA-InfluPaint,Flu ED visits pct
medford,2026-02-07,2,1.1624575911212842,ACCIDDA-InfluPaint,Flu ED visits pct
denver,2026-02-07,1,0.17059028413769048,ACCIDDA-InfluPaint,Flu ED visits pct
mesa,2026-02-07,1,0.058598385331682365,ACCIDDA-InfluPaint,Flu ED visits pct
colorado-springs,2026-02-07,1,0.08024431947719811,ACCIDDA-InfluPaint,Flu ED visits pct
weld,2026-02-07,1,0.1531373660582348,ACCIDDA-InfluPaint,Flu ED visits pct
boulder,2026-02-07,1,0.058683271068683984,ACCIDDA-InfluPaint,Flu ED visits pct
larimer,2026-02-07,1,0.10799188961193387,ACCIDDA-InfluPaint,Flu ED visits pct
savannah,2026-02-07,1,0.384117732153608,ACCIDDA-InfluPaint,Flu ED visits pct
floyd,2026-02-07,1,0.08557604839928004,ACCIDDA-InfluPaint,Flu ED visits pct
hall,2026-02-07,1,0.05271218946490973,ACCIDDA-InfluPaint,Flu ED visits pct
marietta,2026-02-07,1,0.05686021616258589,ACCIDDA-InfluPaint,Flu ED visits pct
macon,2026-02-07,1,0.061246750715228955,ACCIDDA-InfluPaint,Flu ED visits pct
henry,2026-02-07,1,0.0632584735201034,ACCIDDA-InfluPaint,Flu ED visits pct
cherokee,2026-02-07,1,0.10090441947988785,ACCIDDA-InfluPaint,Flu ED visits pct
athens,2026-02-07,1,0.06040931456306589,ACCIDDA-InfluPaint,Flu ED visits pct
south-augusta,2026-02-07,1,0.09996677235434961,ACCIDDA-InfluPaint,Flu ED visits pct
columbus,2026-02-07,1,0.7174609660796798,ACCIDDA-InfluPaint,Flu ED visits pct
la-grange,2026-02-07,1,0.06267127165179133,ACCIDDA-InfluPaint,Flu ED visits pct
indianapolis,2026-02-07,1,0.22526427393468873,ACCIDDA-InfluPaint,Flu ED visits pct
bangor,2026-02-07,1,0.08284244308528874,ACCIDDA-InfluPaint,Flu ED visits pct
portland,2026-02-07,1,0.057188106769728506,ACCIDDA-InfluPaint,Flu ED visits pct
baltimore,2026-02-07,1,0.4310623065863923,ACCIDDA-InfluPaint,Flu ED visits pct
frederick,2026-02-07,1,0.17209034001704257,ACCIDDA-InfluPaint,Flu ED visits pct
montgomery,2026-02-07,1,0.29048035596520283,ACCIDDA-InfluPaint,Flu ED visits pct
harford,2026-02-07,1,0.21169947811208853,ACCIDDA-InfluPaint,Flu ED visits pct
worcester,2026-02-07,1,0.04911286853501618,ACCIDDA-InfluPaint,Flu ED visits pct
pittsfield,2026-02-07,1,0.07371372890674631,ACCIDDA-InfluPaint,Flu ED visits pct
boston,2026-02-07,1,0.10986021932211881,ACCIDDA-InfluPaint,Flu ED visits pct
springfield,2026-02-07,1,0.0776899191951709,ACCIDDA-InfluPaint,Flu ED visits pct
new-bedford,2026-02-07,1,0.05151970151070279,ACCIDDA-InfluPaint,Flu ED visits pct
lynn,2026-02-07,1,0.0519259583110484,ACCIDDA-InfluPaint,Flu ED visits pct
st-paul,2026-02-07,1,0.8876738728798055,ACCIDDA-InfluPaint,Flu ED visits pct
duluth,2026-02-07,1,0.5247683791904371,ACCIDDA-InfluPaint,Flu ED visits pct
minneapolis,2026-02-07,1,0.7386382937193177,ACCIDDA-InfluPaint,Flu ED visits pct
st-cloud,2026-02-07,1,0.14912658418752014,ACCIDDA-InfluPaint,Flu ED visits pct
rochester,2026-02-07,1,0.06310924966053127,ACCIDDA-InfluPaint,Flu ED visits pct
columbia,2026-02-07,1,0.049600796417181736,ACCIDDA-InfluPaint,Flu ED visits pct
greenville,2026-02-07,1,0.0899149618669738,ACCIDDA-InfluPaint,Flu ED visits pct
florence,2026-02-07,1,0.11647702363874801,ACCIDDA-InfluPaint,Flu ED visits pct
charleston,2026-02-07,1,0.29394324281357587,ACCIDDA-InfluPaint,Flu ED visits pct
rock-hill,2026-02-07,1,0.07426263417105014,ACCIDDA-InfluPaint,Flu ED visits pct
horry,2026-02-07,1,0.04782580839074525,ACCIDDA-InfluPaint,Flu ED visits pct
houston,2026-02-07,1,0.12923538255031009,ACCIDDA-InfluPaint,Flu ED visits pct
san-antonio,2026-02-07,1,0.7965347908115301,ACCIDDA-InfluPaint,Flu ED visits pct
beaumont,2026-02-07,1,0.12758273952766785,ACCIDDA-InfluPaint,Flu ED visits pct
el-paso,2026-02-07,1,0.3084157435658901,ACCIDDA-InfluPaint,Flu ED visits pct
austin,2026-02-07,1,0.19519481151376672,ACCIDDA-InfluPaint,Flu ED visits pct
dallas,2026-02-07,1,0.06720654323781233,ACCIDDA-InfluPaint,Flu ED visits pct
provo,2026-02-07,1,0.04360888151438422,ACCIDDA-InfluPaint,Flu ED visits pct
salt-lake-city,2026-02-07,1,0.04064574294969963,ACCIDDA-InfluPaint,Flu ED visits pct
ogden,2026-02-07,1,0.04198283623455781,ACCIDDA-InfluPaint,Flu ED visits pct
roanoke,2026-02-07,1,0.0941960903560147,ACCIDDA-InfluPaint,Flu ED visits pct
nenc,2026-02-07,1,0.12070505716573374,ACCIDDA-InfluPaint,Flu ED visits pct
senc,2026-02-07,1,0.19517928936609183,ACCIDDA-InfluPaint,Flu ED visits pct
fay-area,2026-02-07,1,0.04650805253509411,ACCIDDA-InfluPaint,Flu ED visits pct
rtp-area,2026-02-07,1,0.1248094349108345,ACCIDDA-InfluPaint,Flu ED visits pct
triad-area,2026-02-07,1,0.2639657412011596,ACCIDDA-InfluPaint,Flu ED visits pct
wnc,2026-02-07,1,0.23047707144711568,ACCIDDA-InfluPaint,Flu ED visits pct
clt-area,2026-02-07,1,0.08171300111622616,ACCIDDA-InfluPaint,Flu ED visits pct
portland-or,2026-02-07,1,0.8332401557482305,ACCIDDA-InfluPaint,Flu ED visits pct
salem,2026-02-07,1,1.101822056826592,ACCIDDA-InfluPaint,Flu ED visits pct
deschutes,2026-02-07,1,0.8546313457295478,ACCIDDA-InfluPaint,Flu ED visits pct
